0 ; 0 ; 16971 ; 1222 ; 12166 ; 876 ; 4473 ; 323 ; 5657 ; 408 ; 10199 ; 735 ; 19698 ; 1419 ; 16000 ; 1152 ; 10771 ; 776 ; 16125 ; 1161 ; 18868 ; 1359 ; 13417 ; 967 ; 14143 ; 1019 ; 12807 ; 923 ; 
16971 ; 1222 ; 0 ; 0 ; 10000 ; 720 ; 12807 ; 923 ; 17889 ; 1289 ; 14143 ; 1019 ; 20881 ; 1504 ; 12650 ; 911 ; 8247 ; 594 ; 4473 ; 323 ; 4473 ; 323 ; 18000 ; 1296 ; 10199 ; 735 ; 4473 ; 323 ; 
12166 ; 876 ; 10000 ; 720 ; 0 ; 0 ; 10199 ; 735 ; 16125 ; 1161 ; 16125 ; 1161 ; 25613 ; 1845 ; 18440 ; 1328 ; 11314 ; 815 ; 12650 ; 911 ; 14143 ; 1019 ; 20592 ; 1483 ; 15621 ; 1125 ; 6325 ; 456 ; 
4473 ; 323 ; 12807 ; 923 ; 10199 ; 735 ; 0 ; 0 ; 6000 ; 432 ; 7212 ; 520 ; 17205 ; 1239 ; 12166 ; 876 ; 6325 ; 456 ; 11662 ; 840 ; 14423 ; 1039 ; 11314 ; 815 ; 10000 ; 720 ; 8945 ; 645 ; 
5657 ; 408 ; 17889 ; 1289 ; 16125 ; 1161 ; 6000 ; 432 ; 0 ; 0 ; 6325 ; 456 ; 14561 ; 1049 ; 12650 ; 911 ; 10000 ; 720 ; 15621 ; 1125 ; 18440 ; 1328 ; 8247 ; 594 ; 11662 ; 840 ; 14561 ; 1049 ; 
10199 ; 735 ; 14143 ; 1019 ; 16125 ; 1161 ; 7212 ; 520 ; 6325 ; 456 ; 0 ; 0 ; 10000 ; 720 ; 6325 ; 456 ; 6000 ; 432 ; 10771 ; 776 ; 13417 ; 967 ; 4473 ; 323 ; 5657 ; 408 ; 12166 ; 876 ; 
19698 ; 1419 ; 20881 ; 1504 ; 25613 ; 1845 ; 17205 ; 1239 ; 14561 ; 1049 ; 10000 ; 720 ; 0 ; 0 ; 8247 ; 594 ; 14423 ; 1039 ; 16493 ; 1188 ; 18111 ; 1304 ; 6325 ; 456 ; 10771 ; 776 ; 20592 ; 1483 ; 
16000 ; 1152 ; 12650 ; 911 ; 18440 ; 1328 ; 12166 ; 876 ; 12650 ; 911 ; 6325 ; 456 ; 8247 ; 594 ; 0 ; 0 ; 7212 ; 520 ; 8247 ; 594 ; 10000 ; 720 ; 7212 ; 520 ; 2829 ; 204 ; 12807 ; 923 ; 
10771 ; 776 ; 8247 ; 594 ; 11314 ; 815 ; 6325 ; 456 ; 10000 ; 720 ; 6000 ; 432 ; 14423 ; 1039 ; 7212 ; 520 ; 0 ; 0 ; 5657 ; 408 ; 8486 ; 611 ; 10199 ; 735 ; 4473 ; 323 ; 6325 ; 456 ; 
16125 ; 1161 ; 4473 ; 323 ; 12650 ; 911 ; 11662 ; 840 ; 15621 ; 1125 ; 10771 ; 776 ; 16493 ; 1188 ; 8247 ; 594 ; 5657 ; 408 ; 0 ; 0 ; 2829 ; 204 ; 14143 ; 1019 ; 6000 ; 432 ; 6325 ; 456 ; 
18868 ; 1359 ; 4473 ; 323 ; 14143 ; 1019 ; 14423 ; 1039 ; 18440 ; 1328 ; 13417 ; 967 ; 18111 ; 1304 ; 10000 ; 720 ; 8486 ; 611 ; 2829 ; 204 ; 0 ; 0 ; 16493 ; 1188 ; 8247 ; 594 ; 8000 ; 576 ; 
13417 ; 967 ; 18000 ; 1296 ; 20592 ; 1483 ; 11314 ; 815 ; 8247 ; 594 ; 4473 ; 323 ; 6325 ; 456 ; 7212 ; 520 ; 10199 ; 735 ; 14143 ; 1019 ; 16493 ; 1188 ; 0 ; 0 ; 8247 ; 594 ; 16493 ; 1188 ; 
14143 ; 1019 ; 10199 ; 735 ; 15621 ; 1125 ; 10000 ; 720 ; 11662 ; 840 ; 5657 ; 408 ; 10771 ; 776 ; 2829 ; 204 ; 4473 ; 323 ; 6000 ; 432 ; 8247 ; 594 ; 8247 ; 594 ; 0 ; 0 ; 10000 ; 720 ; 
12807 ; 923 ; 4473 ; 323 ; 6325 ; 456 ; 8945 ; 645 ; 14561 ; 1049 ; 12166 ; 876 ; 20592 ; 1483 ; 12807 ; 923 ; 6325 ; 456 ; 6325 ; 456 ; 8000 ; 576 ; 16493 ; 1188 ; 10000 ; 720 ; 0 ; 0 ; 
